route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
99999,201,1,Centers for Medicare and Medicaid Services,0,RED
99999,201,2,Centers for Medicare and Medicaid Services,0,RED
99999,201,3,Centers for Medicare and Medicaid Services,0,RED
99999,201,4,Centers for Medicare and Medicaid Services,0,RED
99999,201,5,Centers for Medicare and Medicaid Services,0,RED
99999,201,6,Centers for Medicare and Medicaid Services,0,RED
99999,201,7,Centers for Medicare and Medicaid Services,0,RED
99999,201,8,Centers for Medicare and Medicaid Services,0,RED
99999,201,9,Centers for Medicare and Medicaid Services,0,RED
99999,201,10,Centers for Medicare and Medicaid Services,0,RED
99999,201,11,Centers for Medicare and Medicaid Services,0,RED
99999,201,12,Centers for Medicare and Medicaid Services,0,RED
99999,201,13,Centers for Medicare and Medicaid Services,0,RED
99999,201,14,Centers for Medicare and Medicaid Services,0,RED
99999,201,15,Centers for Medicare and Medicaid Services,0,RED
99999,201,16,Centers for Medicare and Medicaid Services,0,RED
99999,201,17,Centers for Medicare and Medicaid Services,0,RED
99999,201,18,Centers for Medicare and Medicaid Services,0,RED
99999,201,19,Centers for Medicare and Medicaid Services,0,RED
99999,201,20,Centers for Medicare and Medicaid Services,0,RED
99999,201,21,Centers for Medicare and Medicaid Services,0,RED
99999,201,22,Centers for Medicare and Medicaid Services,0,RED
99999,201,23,Canton,1,RED
99999,201,24,Canton,1,RED
99999,201,25,Canton,1,RED
99999,201,26,Canton,1,RED
99999,201,27,Canton,1,RED
99999,201,28,Canton,1,RED
99999,201,29,Canton,1,RED
99999,201,30,Canton,1,RED
99999,201,31,Canton,1,RED
99999,201,32,Canton,1,RED
99999,201,33,Canton,1,RED
99999,201,34,Canton,1,RED
99999,201,35,Canton,1,RED
99999,201,36,Canton,1,RED
99999,201,37,Canton,1,RED
99999,201,38,Canton,1,RED
99999,201,39,Canton,1,RED
99999,201,40,Canton,1,RED
99999,201,41,Canton,1,RED
99999,201,42,Canton,1,RED
99999,201,43,Canton,1,RED
99999,201,44,Canton,1,RED
